,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
27,"RT @kompascom: 8 Fakta Gunung Tangkuban Parahu, dari Sangkuriang hingga Erupsi Purba https://t.co/771kF3MXHQ https://t.co/l0ZR6wGr1t",nyuk.,18571,584,Indonesia,False,0,6,2019-07-27 15:03:44
28,"8 Fakta Gunung Tangkuban Parahu, dari Sangkuriang hingga Erupsi Purba https://t.co/771kF3MXHQ https://t.co/l0ZR6wGr1t",Kompas.com,1311703,7232469,Indonesia,True,18,6,2019-07-27 15:02:39
29,"HD Wallpapers Gunung Tangkuban Parahu Erupsi, Okupansi Hotel Tak Banyak Terpengaruh https://t.co/rVZL413VgD",Wallpapers Only,3827,36,,False,0,0,2019-07-27 14:36:43
30,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Arvino Ryan A.,2164,96,,False,0,15,2019-07-27 14:28:29
31,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Raka.,362,15,Jakarta Capital Region,False,0,15,2019-07-27 14:25:27
32,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Uda Iyan.,4870,223,"Jakarta, IDN",False,0,15,2019-07-27 14:23:37
33,"RT @teIevisi: waktu gunung galunggung erupsi, dengan jarak 68 km ke rumahku itu abunya masih bisa sampe. sedangkan rumahku dengan tangkuban…",Penghuni Mars,7638,484,"Purwokerto, Jawa Tengah",False,0,5,2019-07-27 14:17:59
34,PVMBG  Sebut Gunung Tangkuban Parahu Masih Berpotensi Erupsi https://t.co/Kq2GBo2Wie @GarudaNewsId https://t.co/nYUuaTBrRt,satelitraya.com,5823,29,,False,0,0,2019-07-27 14:08:39
35,"Gunung Tangkuban Parahu Erupsi, SPBU Pertamina Tetap Beroperasi https://t.co/iMnzVECaKg https://t.co/ohrdOcFedC",Galih Eka Saputra,35554,483,My Blog =,False,0,0,2019-07-27 14:06:38
36,RT @KontanNews: BMKG: Erupsi Gunung Tangkuban Parahu tak akan picu aktivitas sesar Lembang https://t.co/QTMiQpIMEl #ErupsiGunung,Abdul Ghofar,56310,742,"Bandung, Jawa Bagian Barat",False,0,1,2019-07-27 13:54:16
37,"Saat yang Lain Panik, Pria Ini tak Bergeming Rekam Gunung Tangkuban Parahu Erupsi dari Jarak Dekat… https://t.co/23k34QKuj2",TribunKaltim.co,222566,27703,Balikpapan. Indonesia,False,0,0,2019-07-27 13:52:42
38,"Assalaamu'alaaikum wr wb....
Bandung Barat Darurat...!!! Penggalangan Dan untuk Korban Bencana alam
ERUPSI GUNUNG T… https://t.co/3W32LxUsUX",Dheliah Ahmad,1351,665,"Padalarang, Indonesia",False,0,0,2019-07-27 13:48:01
